"uid","idx","note"
 "BB182","2","Her uncle was Sir John Tufton, 1st earl of Thanet.  Her aunt was the Countess of Rutland."
 "BB184","1","She was the organist."
 "BB186","1","A pensioner. annals 106 ref to miraculous cure 1653"
 "BB186","2","The family were persecuted in England and her father became a thrid order Franciscan."
 "BB189","1","Her brother-in-law was Richard Weston, 1st earl of Portland, the Lord Treasurer."
 "BA033","1","She had lived for some time in St Monica's as a convictress. Had a long novitiate because of difficulty with her pension. Her father paid an annuity of 40 pounds, but lost his fortune when he was imprisoned by Parliament."
 "BF279","2","Elizabeth Patton says Arundell connection through first marriage of Anne Stanley to Lord Stourton."
 "OB082","1","She was part of the group sent to found a new convent in Dublin, but died before reaching Ireland."
 "GB241","1","Her brother-in-law was Richard Weston, 1st earl of Portland, the Lord Treasurer."
 "BB197","1","Baptized in a house around Brussels somewhere. "
 "BB200","1","Her aunt, Catherine Clare Witham, was a nun at the Dunkirk Poor Clares."
 "GP301","1","Father was cousin of Joanna Waldegrave, a nun at the Brussels Benedictine convent."
 "BB201","2","Her mother was cousin to Barbara and Hieronyma Waldegrave, nuns at the Brussels Benedictines."
 "GP301","2","Her mother was cousin to Barbara and Hieronyma Waldegrave, nuns at the Brussels Benedictines."
 "CB211","1","Her father was cousin of Joanna Waldegrave, a nun at the Brussels Benedictine convent."
 "BF279","1","Her grandfather, Francis Tregian, was in prison for 28 years for his faith.
Her father was Thomas Yate of Lyford: cf Winifred and Elizabeth Yates, possible relatives."
 "PT008","2","Notes: A descendant of Major (or Captain) William Boarman, from a family of Devon and Somerset who occurs in 1645 in Maryland; he died in 1709. Elisabeth and her cousin Matilda PT008 were his great-great-granddaughters. A descendant of Major (or Captain) William Boarman, from a family of Devon and Somerset who occurs in 1645 in Maryland; he died in 1709. Elisabeth and her cousin Matilda PT008 were his great-great-granddaughters. See Cornelius Francis Thomas, The Genealogy of the Boarman Family (Baltimore, 1897); http://ia600401.us.archive.org/27/items/genealogyofboarm00thom/genealogyofboarm00thom.pdf (accessed 09.05.11)."
 "LA005","1","Father was cousin to Dorothy, Ann, Elizabeth and Mary Anderton, and Ellen, Ann and Elizabeth Bradshaigh, and Elizabeth Tildesly, all nuns at the Gravelines Poor Clares."
 "LA051","1","Mother probably Anne Wiseman, daughter of John Wiseman of Stisted."
 "LA070","1","Her grandfather was Thomas Brudenell, 1st Earl of Cardigan."
 "LA091","1","Parents identified from Fermor genealogies (Stirnet)."
 "AC114","1","Her great-aunt, Lady Anne Somerset, was mother to Mary Percy of the Brussels Benedictines."
 "BB064","1","Death date given as 1648 and 1658 in conventual sources."
 "BB002","1","Her father died in prison for his faith. Lived at Chideock Dorset from 1590 to 1594/5 before going to Brussels. (Elizabeth Patton)"
 "BB003","1","Her father died in prison for his faith. Mother widow of Charles 7th lord Stourton: annals 26"
 "GB029","1","Significant benefactor to community: £1500 (dowry?) built a new grate and Good Angels' House: see obit.
Educated by the English Ladies, Hammersmith"
 "BB170","1","In 1671, she was given permission to go to the Ypres Benedictines for health reasons, though it is unknown if she went there for a short period of time."
 "PA074","1","Her mother was the granddaughter of Sir Francis Windebank, secretary of state to Charles I.  Following the Glorious Revolution, her father was imprisoned in the Tower of London, before joining James II in exile.  He attempted to persuade his daughter not to become a nun. (ODNB)"
 "BB042","1","She was the aunt of Dame Joseph Collins, who was educated in the convent school before entering the community on its return to England."
 "BB058","1","Her father later became a Carthusian."
 "BB066","1","Her brother, Phillip, married Frances Weston, daughter of Richard Weston, 1st earl of Portland, the lord treasurer."
 "BB065","1","Her brother, Phillip, married Frances Weston, daughter of Richard Weston, 1st earl of Portland, the lord treasurer.
annals 124 says were cousins to Pastons"
 "LS077","1","Father became a Jesuit laybrother. "
 "BB093","1","A convert to Catholicism."
 "BB104","1","Her father became Protestant for a time but returned to Catholic faith and was held in prison for a long period for refusing to swear the Oath of Allegiance."
 "LA146","1","Her father became Protestant for a time but returned to the Catholic faith and was held in prison for a long period for refusing to swear the Oath of Allegiance. Initially indispute with his wife about the CAtholic upbringing of their daughters, she became a convert and brought them up as Catholics during his imprisonment. Three of them became nuns. She is said to have been sister to Lady Cary. Given the date this could refer to Catherine Knyvett, wife of Sir Edward Cary of Aldenham (d.1618)."
 "LA145","1","Stirnet has Katherine Ireland a nun daughter of Lawrence Ireland of Lydiate and Ann Scarisbrick (d.1664)"
 "CB078","1","Left the convent but returned and professed. see Bantoft."
 "GP265","1","According to Stirnet, Stephen Tempest's first wife Susan Oglethorpe died in 1628. His second wife was Frances Gargrave, died 1662. Rec Hist notes Vol 7, 1963-4 p264 identifies problem with parentage and has Elizabeth Tempest dau Stephen and Susan Oglethorpe in Fran Brussels"
 "BB157","1","Clothed twice, indicating that she left and then re-entered."
 "BB197","2","Recipient of a miraculous cure."
 "LA272","1","Her cousin, Richard Tremayne, was father to Sisters Catherine and Margaret Tremayne of the Louvain Augustinians. Problem with relationship since Hamilton's pedigree does not agree with notes on pp44-5 of Chronicle vol 1."
 "LA262","1","Her brother, Herbert Aston, married Catherine Thimelby, sister to the nuns, Frances and Mary Thimelby, as well as to her own husband."
 "LA005","2","Joined as a scholar aged 12."
 "LS051","1","Grandmother at the time of her profession"
 "LS165","1","She temprarily left the habit, returning to England on 1772 12 Jul, but being convinced it was just a temptation, she returned to the convent on 23 Nov.  Having already completed her novitiate, she was allowed to progress as normal."
 "BA100","1","Probably the same as the Elizabeth Heath who joined the Sepulchrines."
 "LA014","1","Lady Yeats paid her portion."
 "LA025","1","On her death her portion was used to build a brew house. According to Gillow and Trappes-Lomax, CRS vol 8, p. 322, she was a daughter of Sir Henry Bedingfield  and his second wife Elizabeth Houghton.  This identification appears to be incorrect."
 "LA039","1","Her brother, Dennis, secured the place of Sister Mary Barney at the convent. (Chr 366)"
 "LA016","1","Her place at the convent was secured by Dennis, brother of Sister Helen Brittain (Chr 366)."
 "LA040","1","Received a grant of £10 a year from Lady Petre."
 "LA040","2","As a widow, her non-Catholic mother was made mother of the maids-honour at court of Elizabeth I (MS Chron p114, Gerard p260). Increasingly unhappy at court, Anne was sent by her mother into the country where she met a Catholic gentleman who eventually introduced her to Father John Gerard SJ, who was responsible for her conversion. After his arrest he asked Fr Garret to facilitate her entry into St Ursula's (Hamilton, Chron. I, p86, 107-9). For text of MS Chron. see next Note."
 "LA070","2","Originally joined as a scholar."
 "LA214","1","She had been servant to Lady Kemp, sister of Sister Susan Brooke."
 "LA041","1","She had written to her sister, Lady Kemp, to secure the release of Frances Rogers to join the convent. (Chr 532)"
 "LA042","1","The chronicle suggests that she never fully professed as she was incapable of any settled state of life. '...it was agreed that she should remain hole pensioner for life (or rather scholar) wearing always a kercher and a scholars habit & all the money which could be obtained out of her father's broken estate being paid was received as her pension.' She was allowed to continue living in the convent, as she had since childhood, as a pensioner or scholar. She is shown there in 1636. The chronicle says she was sister of Agatha Brooke, BA033, who went to Bruges (Hamilton, ii, 163). This means that her mother was Sir Basil's first wife Etheldreda. "
 "LA046","1","Her grandfather was first Lord Vaux of Harrowden. The MS Chronicle p88 says she was 'neece to the Lord Vaux whose cosin Mrs Brooskbey that had brought her up promised ten pound a year for her, but performed it only 2 or 3 year."
 "LA085","1","She was blind for a year before having a cataract operation. Sponsored by Lady Mary Percy for her place in the convent: see Brussels annals 125."
 "LA060","1","Her mother was martyred for her faith in York."
 "LA058","3","Her sister, Dorothy, was a Poor Clare in Louvain (not an English convent)."
 "LA072","1","The chronicle claims that she was niece to Margaret Clement."
 "LA073","1","The chronicle claims that she was niece to Margaret Clement."
 "LA058","5","The chronicle claims that she was aunt to Mary and Helen Copley. (Chr 120)"
 "LS216","1","described as infirm in Chapter Book"
 "LA082","1","She was professed on her deathbed, having been a scholar at the convent."
 "LA088","1","Decided to become a nun after discussions with Agnes Watson, who also entered the convent."
 "LA290","1","While in England she encouraged Anne Evans to become a nun."
 "AC090","1","Her uncorrupt body was found when her bones were moved to Antwerp."
 "LA290","2","She looked after Sister Elizabeth Shirley."
 "LA229","1","She was cared for by a lay sister, Agnes Watson, in her old age."
 "LA312","1","Sister Frances probably attended Louvain as scholar, left 1673: Hamilton pedigree"
 "LA103","1","Her nephew, Thomas, was martyred, as well as her brother, Henry, who was the Jesuit provincial."
 "LA104","1","Her nephew, Thomas, was martyred, as well as her brother, Henry, who was the Jesuit provincial. Father was master of the Free Grammar School, Nottingham."
 "AC025","1","Some sources have 1682 2 Nov for profession which must be an error: CB"
 "AC031","1","Very interested in the foundation in Baltimore."
 "LA133","1","Looked after old Mr Bolt for many years.  This was the convent organist, Fr John Bolt, a famous musician who had previously lived with the Petres and the Wisemans. (JEK)"
 "LA123","1","Her parents 'having ten children, this was the yongest and both her parents and all their children being protestants it pleased the divine goodnes to call yongest of all unto him': See Chronicle p131"
 "LA169","1","Received a grant from the countess of Arundel."
 "LA169","2","Her father was martyred in Lancaster on 1582 22 Mar.
Did he marry Bridget Norton nee Bulmer of Wilton in Cleveland? see bib dict vol 4 p228."
